,,,,,2015,2020,2025,2030,2035,2040,2045,2050
NPS-Ref,NAM,CAN,EU,BGR,,1.17693E-08,1.3918E-08,1.49362E-08,1.78067E-08,2.17047E-08,2.5896E-08,2.78269E-08
NPS-Ref,NAM,CAN,EU,CZE,,4.63007E-08,5.84036E-08,3.34423E-08,3.74846E-08,4.53472E-08,4.71914E-08,5.00572E-08
NPS-Ref,NAM,CAN,EU,DEU,,3.23957E-08,7.07298E-08,6.24746E-08,7.66078E-08,9.62065E-08,8.44453E-08,7.89408E-08
NPS-Ref,NAM,CAN,EU,DNK,,1.33664E-08,2.65782E-08,3.35492E-08,5.02559E-08,6.64035E-08,7.44266E-08,7.85963E-08
NPS-Ref,NAM,CAN,EU,ESP,,2.31245E-07,4.4753E-07,4.89237E-07,5.97862E-07,7.18025E-07,7.30362E-07,7.36069E-07
NPS-Ref,NAM,CAN,EU,EST,,7.71125E-08,6.03535E-08,6.95236E-08,7.54834E-08,6.6242E-08,4.51123E-08,3.86896E-08
NPS-Ref,NAM,CAN,EU,FIN,,1.71095E-07,2.02526E-07,2.35241E-07,2.83467E-07,3.34374E-07,3.25341E-07,2.75282E-07
NPS-Ref,NAM,CAN,EU,FRA,,1.79023E-07,3.15374E-07,4.1055E-07,5.30233E-07,6.55051E-07,6.5178E-07,5.94185E-07
NPS-Ref,NAM,CAN,EU,GBR,,3.14362E-08,6.48463E-08,7.23626E-08,1.0442E-07,1.62428E-07,1.92869E-07,2.75474E-07
NPS-Ref,NAM,CAN,EU,GRC,,1.80386E-08,2.0469E-08,2.16382E-08,2.57171E-08,3.03438E-08,3.62201E-08,3.99867E-08
NPS-Ref,NAM,CAN,EU,HRV,,3.87534E-08,5.50806E-08,3.76692E-08,4.40043E-08,5.27769E-08,5.01038E-08,4.99795E-08
NPS-Ref,NAM,CAN,EU,HUN,,4.13668E-08,3.92845E-08,2.59474E-08,2.86025E-08,3.26693E-08,3.37124E-08,3.55177E-08
NPS-Ref,NAM,CAN,EU,IRL,,5.85399E-08,1.19353E-07,1.17873E-07,1.60165E-07,1.87363E-07,1.80517E-07,1.65169E-07
NPS-Ref,NAM,CAN,EU,ITA,,4.00864E-08,6.86625E-08,3.72187E-08,4.59587E-08,5.87269E-08,6.07128E-08,6.33278E-08
NPS-Ref,NAM,CAN,EU,LTU,,6.38613E-08,1.05178E-07,1.76512E-07,1.54554E-07,1.40573E-07,9.12079E-08,6.6564E-08
