,,,,,2015,2020,2025,2030,2035,2040,2045,2050
SDS-Vision,NAM,CAN,ASP,PHL,,5.32886E-09,1.4355E-08,1.55937E-08,1.78712E-08,2.27661E-08,2.51898E-08,2.6363E-08
SDS-Vision,NAM,CAN,ASP,SGP,,8.38317E-08,4.09987E-08,4.37061E-08,5.14371E-08,6.32327E-08,6.47757E-08,6.602E-08
SDS-Vision,NAM,CAN,ASP,THA,,2.1865E-08,1.03793E-07,1.31083E-07,1.44202E-07,1.65772E-07,1.66509E-07,1.28196E-07
SDS-Vision,NAM,CAN,ASP,TWN,,5.23041E-07,3.379E-06,4.6876E-06,2.52538E-06,6.67816E-06,9.81308E-06,1.1514E-05
SDS-Vision,NAM,CAN,ASP,VNM,,,1.01604E-08,1.30593E-08,1.44624E-08,1.87366E-08,2.12364E-08,2.29585E-08
SDS-Vision,NAM,USA,SAM,ARG,7.41216E-09,2.64706E-07,4.68646E-07,3.03929E-07,5.63067E-07,8.19435E-07,1.10495E-06,1.21361E-06
SDS-Vision,NAM,USA,SAM,BRA,1.13865E-08,5.70177E-08,6.67948E-08,6.8544E-08,2.37461E-07,6.34612E-07,2.09093E-06,2.84234E-06
SDS-Vision,NAM,USA,SAM,CHL,2.61683E-08,1.47779E-06,0.120199456,9.2202E-07,9.98789E-07,1.4278E-06,1.57012E-06,1.51216E-06
SDS-Vision,NAM,USA,SAM,COL,,8.74414E-09,1.2795E-08,1.30646E-08,1.63839E-08,2.13197E-08,2.74999E-08,3.14232E-08
SDS-Vision,NAM,USA,SAM,TTO,,,5.6629E-09,8.06361E-09,1.08055E-08,1.35456E-08,1.7564E-08,2.22941E-08
SDS-Vision,NAM,USA,SAM,VEN,,7.93751E-09,1.16885E-08,1.17141E-08,1.33228E-08,1.74704E-08,2.08189E-08,2.37797E-08
SDS-Vision,NAM,USA,EU,AUT,3.62733E-09,4.41243E-08,2.53988E-08,1.80046E-08,1.71366E-08,1.9629E-08,1.87513E-08,1.85832E-08
